pbcode	pname	pinfo	pcost	pprice	pimg	pagelimit	category	class
1010022	도)소고기비빔밥	"대표 한정식 메뉴 비빔밥!
1)밥과 갖은 야채를 매콤한 고추장 양념에 비벼먹는 맛! 
2)야채 외 : 상추, 콩나물, 호박나물, 당근
3)야채 외에 소불고기, 표고버섯 을 넣어 쫄깃ㅎ한 맛을 더함! 
*별첨 : 고추장소스, 참기름"	1800	3000	http://cdn2.bgfretail.com/bgfbrand/files/product/785D3A0241F04777B9C865E6D6EFE18B.jpg	y	간편식사	도시락
1010023	면)BIG야채비빔메밀	"무더운 여름! 시원한 비빔메밀!!!
고소한 메밀면과 8가지 고명이 어우러진 상품! 
매콤한 고추장 소스를 비벼 먹는 상품! 
하절기 차갑게! 먹을수 있는 상품! "	2100	3500	http://cdn2.bgfretail.com/bgfbrand/files/product/216240642DE542C28D1B7270366E9DF6.jpg	y	간편식사	도시락
1010024	도)숯불고기정식	"국내산 돼지고기 사용
달콤한 불고기 소스에 진한 숯불향이 어우러진 상품! 
"	1680	2800	http://cdn2.bgfretail.com/bgfbrand/files/product/F703FAC21B8B4FF9AF3107011927DCD1.jpg	y	간편식사	도시락
1010025	도)제육볶음정식	"국내산 돼지고기 사용
매콤,달콤한 소스에 볶은 제육볶음.
"	1680	2800	http://cdn2.bgfretail.com/bgfbrand/files/product/BEDF9EBD702546C5A18EC0D9051C2387.jpg	y	간편식사	도시락
1010026	도)치즈불덮밥	불닭갈비볶음+치즈+김+참깨밥을 한번에! 	1500	2500	http://cdn2.bgfretail.com/bgfbrand/files/product/FE9CA90E61DD40F89EE98305F1EF7A7B.jpg	y	간편식사	도시락
1010027	도)매콤달콤치킨정식	"인기 닭강정 2가지 맛을 그대로! 
"	1980	3300	http://cdn2.bgfretail.com/bgfbrand/files/product/D9D8D84605304534A2ACD1E09533D01C.jpg	y	간편식사	도시락
1010028	도)한입돈가스소시지정식	안주류 최고 인기반찬만으로 구성	1800	3000	http://cdn2.bgfretail.com/bgfbrand/files/product/D32D3BC39A97451F880CDF1E871849CF.jpg	y	간편식사	도시락
1010029	도)스팸구이김치볶음밥 	"스팸구이와 어울리는 김치볶음밥으로 구성 
"	2100	3500	http://cdn2.bgfretail.com/bgfbrand/files/product/FCEBBD475E06476D87A20A22B7F6804A.jpg	y	간편식사	도시락
1010030	도)통등심돈가스카레볶음	"통등심 돈가스와 어울리는 카레볶음밥으로 구성 
"	2100	3500	http://cdn2.bgfretail.com/bgfbrand/files/product/59BAACEB1A68412AA39A5886CCB56AEA.jpg	y	간편식사	도시락
1010031	도)잇츠빅양푼비빔밥	5~2인분 사이즈의 9가지 나물 비빔밥 	2940	4900	http://cdn2.bgfretail.com/bgfbrand/files/product/C3BE07C0661E411C9982178670688E80.jpg	y	간편식사	도시락
1010032	도)짜장&깐풍기덮밥	"사천식 짜장에 매콤한 깐풍기 
"	1680	2800	http://cdn2.bgfretail.com/bgfbrand/files/product/659E5DBE516B4C96933651426166AC3C.jpg	y	간편식사	도시락
1010033	도)카레&치킨덮밥	"일본풍 카레소스와 치킨 구성 
"	1680	2800	http://cdn2.bgfretail.com/bgfbrand/files/product/CD1BA077673A4B239466DD25457BE336.jpg	y	간편식사	도시락
1010034	도)뚝불고기정식	"따뜻하게 데워먹는 동절기 안주류 
"	2100	3500	http://cdn2.bgfretail.com/bgfbrand/files/product/6013E9A4D30342F38A986F36921D07DB.jpg	y	간편식사	도시락
1010035	도)부대찌개정식	"따뜻하게 데워 먹는 동절기 안주류 
"	2100	3500	http://cdn2.bgfretail.com/bgfbrand/files/product/ADB1D828ABB84608ABEB9A4C3A689CC2.jpg	y	간편식사	도시락
1010036	도)뚝불고기정식	"따뜻하게 데워먹는 동절기 안주류 
"	2100	3500	http://cdn2.bgfretail.com/bgfbrand/files/product/85BE1DB055DB4B39882E2E6FD4880DCA.jpg	y	간편식사	도시락
1010037	도)부대찌개정식	"따뜻하게 데워먹는 동절기 안주류 
"	2100	3500	http://cdn2.bgfretail.com/bgfbrand/files/product/86044B9FD1E147CFA3C158DE17BD6B14.jpg	y	간편식사	도시락
1010038	도)제주두루치기덮밥	제주식 두루치기 맛을 그대로 구현	1680	2800	http://cdn2.bgfretail.com/bgfbrand/files/product/E21CC6E5CC004294A8D13B5B122786E8.jpg	y	간편식사	도시락
1010039	도)사골조랭이떡국정식	신년맞이 따뜻한 떡국 정식	2100	3500	http://cdn2.bgfretail.com/bgfbrand/files/product/355268F96B614338839A688A4B8884E5.jpg	y	간편식사	도시락
1010040	도)사천식짜장깐풍기덮밥	더욱 맛있어진 매콤한 사천식짜장	1680	2800	http://cdn2.bgfretail.com/bgfbrand/files/product/16C36A8FB22241EEA54DC6BC47137376.jpg	y	간편식사	도시락
1010041	도)오사카식카레치킨덮밥	더욱 맛있어진 매콤한 오사카식 카레	1680	2800	http://cdn2.bgfretail.com/bgfbrand/files/product/3EBD5953FB2C416990E8F5DCC4A696EF.jpg	y	간편식사	도시락
1010042	도)New더블BIG정식	베이컨스테이크,치킨 등 인기반찬 모음	2340	3900	http://cdn2.bgfretail.com/bgfbrand/files/product/4E767CF6057E4C2CAAC1EACB8E8F4C34.jpg	y	간편식사	도시락
1010043	도)New더블BIG요일정식	지역별 요리법을 담은 요일별 정식	2340	3900	http://cdn2.bgfretail.com/bgfbrand/files/product/B7C06DE9B2C44B3B857E3944253D2CDB.jpg	y	간편식사	도시락
1010044	도)매콤한입돈가스소시지	더욱더 맛있어진 1등 안주류	1800	3000	http://cdn2.bgfretail.com/bgfbrand/files/product/220A56ADA42740059430EB9E68D3783A.jpg	y	간편식사	도시락
1010045	도)허니칠리치킨정식	더 달콤하고 매워진 치킨안주류	1980	3300	http://cdn2.bgfretail.com/bgfbrand/files/product/64FACFCEAE29462EA175731EDA4CDCB5.jpg	y	간편식사	도시락
1010046	도)제주매콤돈가스소시지	더욱더 맛있어진 1등 안주류	1800	3000	http://cdn2.bgfretail.com/bgfbrand/files/product/D4B4B7F48C5C496F883E4FF47E421F09.jpg	y	간편식사	도시락
1010047	도)제주허니칠리치킨정식	더 달콤하고 매워진 치킨안주류	1980	3300	http://cdn2.bgfretail.com/bgfbrand/files/product/44D4B5FCFAFA40869A4F6639F9219AEE.jpg	y	간편식사	도시락
1010048	도)제주소불고기미트볼	소불고기,미트볼 2가지 메인찬으로 구성	1800	3000	http://cdn2.bgfretail.com/bgfbrand/files/product/2F4B41303608424A96F4B7D425EBA2DB.jpg	y	간편식사	도시락
1010049	도)더건강한햄구이정식	CJ 더건강한 햄구이 사용	2100	3500	http://cdn2.bgfretail.com/bgfbrand/files/product/9780DB26F136486D83EA28531996AEFC.jpg	y	간편식사	도시락
1010050	도)통등심돈까스정식	CJ 통등심돈가스 사용	2100	3500	http://cdn2.bgfretail.com/bgfbrand/files/product/1E9C2E78429B4BDAA11E31FF598AC4EE.jpg	y	간편식사	도시락
1010051	도)치즈함박스테이크정식	BIG사이즈 함박스테이크 사용	2100	3500	http://cdn2.bgfretail.com/bgfbrand/files/product/40CFC02B77DA4324AAAF15211C8CF77D.jpg	y	간편식사	도시락
1010052	도)제주더건강한햄구이	CJ더건강한 햄구이 사용	2100	3500	http://cdn2.bgfretail.com/bgfbrand/files/product/1AF6C66B6C804D11B4645095CE351E56.jpg	y	간편식사	도시락
1010053	도)제주치즈함박스테이크	BIG사이즈 함박스테이크 사용	2100	3500	http://cdn2.bgfretail.com/bgfbrand/files/product/7726F4185E1940949A50A5E023D96E4B.jpg	y	간편식사	도시락
1010054	도)국민7찬밥상	가정식 대표 반찬으로 구성	2160	3600	http://cdn2.bgfretail.com/bgfbrand/files/product/DA806DE56CCD41EF81C6F26D41BC31EF.jpg	y	간편식사	도시락
1010055	도)국민9찬밥상	기본찬과 메인찬이 어우러진 한끼식사	2340	3900	http://cdn2.bgfretail.com/bgfbrand/files/product/DB2F1E46A124490D969FB1DCDA807D10.jpg	y	간편식사	도시락
1010056	도)제주국민7찬밥상	가정식 대표 반찬으로 구성	2160	3600	http://cdn2.bgfretail.com/bgfbrand/files/product/A841F63AFA354401AFB5DCC853D6B044.jpg	y	간편식사	도시락
1010057	도)제주국민9찬밥상	기본찬과 메인찬이 어우러진 한끼식사	2340	3900	http://cdn2.bgfretail.com/bgfbrand/files/product/6A011817285D4699B0E74440212CDFEF.jpg	y	간편식사	도시락
1010058	도)제주흑돼지통등심돈가스정식1		2340	3900	http://cdn2.bgfretail.com/bgfbrand/files/product/63FCFEB971AC410681BCFB56A18778FA.jpg	y	간편식사	도시락
1010059	도)통등심돈가스	국민밥상'컨셉을 적용한 '양식'안주류	2160	3600	http://cdn2.bgfretail.com/bgfbrand/files/product/B5374D70E6EE4C78BEC10774F5C12132.jpg	y	간편식사	도시락
1010060	도)함박스테이크	국민밥상'컨셉을 적용한 '양식'안주류	2160	3600	http://cdn2.bgfretail.com/bgfbrand/files/product/DB06A27B9AFD4D2DAD4EE7B63A527ED1.jpg	y	간편식사	도시락
1010061	도)제주함박스테이크	국민밥상'컨셉을 적용한 '양식'안주류	2160	3600	http://cdn2.bgfretail.com/bgfbrand/files/product/B9942E2FC32A414AA4020BE3881F76D9.jpg	y	간편식사	도시락
1010062	도)닭개장국밥세트	가정식 대표 '햇반'+ 따뜻한 '국' 세트 45일 냉장안주류	2340	3900	http://cdn2.bgfretail.com/bgfbrand/files/product/200916A6C88C4FBCA15FF369397B2D1B.jpg	y	간편식사	도시락
1010063	도)오므라이스	국민밥상'컨셉을 적용한 '양식'안주류	2280	3800	http://cdn2.bgfretail.com/bgfbrand/files/product/C87AC8A9FCD94AC8BE2E4FCB6B96FEB0.jpg	y	간편식사	도시락
1010064	도)순창고추장돈불고기	하절기 영양을 고려한 '돼지불고기 영양밥상'	2340	3900	http://cdn2.bgfretail.com/bgfbrand/files/product/226C24F262E64030AB8B7299F0BD3A5B.jpg	y	간편식사	도시락
1010065	도)캐슈넛치킨	하절기 영양을 고려한 '닭고기 영양밥상'	2340	3900	http://cdn2.bgfretail.com/bgfbrand/files/product/8B1FAF5E6D0D415C92D498D96617A25F.jpg	y	간편식사	도시락
1010066	도)매콤닭강정	인기간식류 모음 순살치킨,김말이튀김	1980	3300	http://cdn2.bgfretail.com/bgfbrand/files/product/52D6B9CCC2DF4C4C9490826793B97F22.jpg	y	간편식사	도시락
1010067	도)오코노미야끼	가쓰오부시 위에 데리야끼소스,마요네즈소스 듬뿍	1980	3300	http://cdn2.bgfretail.com/bgfbrand/files/product/5611B0E9ECED428D82E899691B80D62A.jpg	y	간편식사	도시락
1010068	도)풍성한나물비빔밥	추석 미귀성 곡객 및 가을 걷이 나물 비빔밥상품	2280	3800	http://cdn2.bgfretail.com/bgfbrand/files/product/BAA23417E9EE415E9D6A72FDAC6E4743.jpg	y	간편식사	도시락
1010069	도)생선까스&갈비산적	동절기 따뜻한 밥 맛을 살리는 '매직캡'적용	2160	3600	http://cdn2.bgfretail.com/bgfbrand/files/product/3B9A398D74A749DD9F9B488C6C9822DD.jpg	y	간편식사	도시락
1010070	도)백종원매콤불고기정식	주반찬을 푸짐하게~!! 더욱 맛있어진 매콤불고기	2340	3900	http://bgf-cu.xcache.kinxcdn.com/product/8809451520806.jpg	y	간편식사	도시락
